Date,USD,Energy,SENT,brent,WTI
2012-04-17,79.48,6834.01,-1894.915703,118.78,104.27
2012-04-18,79.54,6823.1,-1943.120114,117.97,102.77
2012-04-19,79.56,6802.716667,-1935.315466,118.0,102.64
2012-04-20,79.19,6782.333333,-1987.841775,118.76,102.94
2012-04-23,79.42,6761.95,-2102.184076,118.71,103.07
2012-04-24,79.22,6747.51,-2103.090529,118.16,103.79
2012-04-25,79.01,6803.48,-2334.667186,119.12,103.95
2012-04-26,78.92,6815.416667,-2326.209548,119.92,104.16
2012-04-27,78.71,6827.353333,-2346.885653,119.83,104.78
2012-04-30,78.78,6839.29,-2331.061822,119.47,104.88
2012-05-01,78.86,6823.74,-2385.269016,119.66,105.98
2012-05-02,79.13,6826.52,-2415.208965,118.2,105.38
2012-05-03,79.22,6761.046667,-2487.883365,116.08,102.44
2012-05-04,79.5,6695.573333,-2451.577202,113.18,98.59
2012-05-07,79.6,6630.1,-2527.368339,113.16,97.98
2012-05-08,79.74,6630.66,-2638.047203,112.73,97.39
2012-05-09,80.08,6515.93,-2818.982098,113.2,96.38
2012-05-10,80.11,6473.23,-2788.250096,112.73,96.55
2012-05-11,80.26,6430.53,-2734.736522,112.26,95.57
2012-05-14,80.61,6387.83,-2785.215934,111.57,94.09
2012-05-15,81.22,6391.54,-2814.262384,112.24,93.09
2012-05-16,81.37,6386.75,-2970.687702,111.71,92.81
2012-05-17,81.38,6353.283333,-3049.568006,107.49,92.91
2012-05-18,81.29,6319.816667,-3011.719442,107.14,91.34
2012-05-21,81.08,6286.35,-2923.448899,108.81,92.58
2012-05-22,81.49,6343.36,-3001.275549,108.41,92.2
2012-05-23,82.09,6312.33,-2958.494535,105.56,90.57
2012-05-24,82.35,6299.666667,-2886.815041,106.55,90.8
2012-05-25,82.4,6287.003333,-2782.43841,106.83,90.72
2012-05-28,82.4,6274.34,-2706.316482,107.11,90.815
2012-05-29,82.48,6254.39,-2742.498334,106.68,90.91
2012-05-30,83.02,6201.56,-2747.147304,103.47,87.47
2012-05-31,83.04,6146.443333,-2717.060448,101.87,86.5
2012-06-01,82.89,6091.326667,-2686.15585,98.43,83.28
2012-06-04,82.56,6036.21,-2679.182355,98.85,84.11
2012-06-05,82.83,5991.84,-2773.889072,98.84,84.06
2012-06-06,82.32,5921.35,-2794.075485,100.64,85.53
2012-06-07,82.05,5959.35,-2770.80928,99.93,83.62
2012-06-08,82.51,5997.35,-2743.302582,99.47,84.32
2012-06-11,82.52,6035.35,-2560.044542,98.0,81.12
2012-06-12,82.42,5931.05,-2520.029803,97.14,83.47
2012-06-13,82.06,5956.83,-2261.210403,97.13,82.39
2012-06-14,81.99,5961.196667,-2202.29467,97.03,84.36
2012-06-15,81.63,5965.563333,-2162.820231,97.61,84.19
2012-06-18,81.95,5969.93,-2279.652324,96.05,83.04
2012-06-19,81.38,5996.1,-2290.251473,95.76,83.98
2012-06-20,81.58,6014.48,-2292.141953,92.69,82.5
2012-06-21,82.29,5962.283333,-2216.782676,89.23,78.25
2012-06-22,82.26,5910.086667,-2077.761247,90.98,80.12
2012-06-25,82.5,5857.89,-2019.830942,91.01,79.17
2012-06-26,82.37,5896.05,-2034.363012,93.02,79.48
2012-06-27,82.62,5788.06,-2046.988628,93.5,80.53
2012-06-28,82.81,5813.666667,-2169.480453,91.36,78.44
2012-06-29,81.63,5839.273333,-2118.154476,97.8,84.88
2012-07-02,81.87,5864.88,-2097.343545,97.34,83.65
2012-07-03,81.78,5891.45,-2100.305765,100.68,87.72
2012-07-04,81.78,5855.05,-2058.749168,99.77,87.25999999999999
2012-07-05,82.81,5840.093333,-2072.493705,100.7,86.8
2012-07-06,83.38,5825.136667,-2096.205983,98.19,84.12
2012-07-09,83.16,5810.18,-2033.814928,100.32,85.71
2012-07-10,83.4,5754.48,-2009.308846,97.97,83.98
2012-07-11,83.57,5711.33,-1860.683897,100.23,86.16
2012-07-12,83.66,5695.383333,-1889.103315,101.07,85.76
2012-07-13,83.35,5679.436667,-1872.116474,102.4,86.98
2012-07-16,83.1,5663.49,-1841.295309,103.55,88.23
2012-07-17,83.03,5636.85,-1824.023964,104.0,89.12
2012-07-18,83.07,5686.32,-1804.620738,105.16,89.97
2012-07-19,82.88,5688.996667,-1748.622517,107.8,92.56
2012-07-20,83.48,5691.673333,-1761.863945,106.83,88.9
2012-07-23,83.71,5694.35,-1799.574888,103.26,88.02
2012-07-24,84.0,5755.64,-1938.346974,103.42,88.19
2012-07-25,83.52,5731.9,-1990.142262,104.38,89.0
2012-07-26,82.81,5802.206667,-2001.214406,105.26,89.34
2012-07-27,82.71,5872.513333,-1977.074285,106.47,90.18
2012-07-30,82.79,5942.82,-1963.146262,106.2,89.55
2012-07-31,82.64,6037.67,-1979.222534,104.92,87.84
2012-08-01,83.06,6017.08,-1919.904828,105.96,88.8
2012-08-02,83.36,6041.17,-2054.618395,105.9,87.31
2012-08-03,82.38,6065.26,-2063.077414,108.94,91.34
2012-08-06,82.27,6089.35,-2041.823964,109.55,92.08
2012-08-07,82.21,6093.53,-1932.702179,112.0,93.62
2012-08-08,82.39,6080.77,-1818.819738,112.14,93.38
2012-08-09,82.64,6068.136667,-1790.055387,113.22,93.65
2012-08-10,82.55,6055.503333,-1908.989092,112.95,93.41
2012-08-13,82.44,6042.87,-1882.885328,113.6,92.81
2012-08-14,82.48,6055.09,-1967.911732,114.03,93.35
2012-08-15,82.64,6085.02,-1953.187928,116.25,94.28
2012-08-16,82.36,6103.0125,-1993.452423,116.9,95.34
2012-08-17,82.6,6121.005,-2063.713225,113.71,96.03
2012-08-20,82.46,6138.9975,-2121.219928,113.7,95.8
2012-08-21,81.91,6156.99,-2081.365522,114.64,96.44
2012-08-22,81.49,6174.9825,-2085.77987,114.91,97.32
2012-08-23,81.36,6192.975,-2027.22008,115.01,95.97
2012-08-24,81.59,6210.9675,-2034.188509,113.59,96.06
2012-08-27,81.66,6228.96,-2021.889132,112.26,95.67
2012-08-28,81.37,6203.17,-2030.153836,112.58,96.14
2012-08-29,81.55,6177.04,-2091.102141,112.54,95.19
2012-08-30,81.69,6149.806667,-2029.729447,112.65,94.79
2012-08-31,81.21,6122.573333,-1940.282148,114.57,96.54
2012-09-03,81.21,6095.34,-1969.485344,115.78,96.08000000000001
2012-09-04,81.31,6032.23,-1926.118697,114.18,95.62
2012-09-05,81.23,6015.55,-1877.535736,113.09,96.03
2012-09-06,81.04,6033.38,-1753.201809,113.49,94.77
2012-09-07,80.25,6051.21,-1773.188075,114.25,96.28
2012-09-10,80.36,6069.04,-1883.564344,114.81,96.26
2012-09-11,79.86,6099.03,-1780.069277,115.4,96.91
2012-09-12,79.74,6140.47,-1714.87521,115.96,96.86
2012-09-13,79.26,6174.403333,-1685.365427,116.9,98.06
2012-09-14,78.85,6208.336667,-1599.789692,116.66,99.05
2012-09-17,79.01,6242.27,-1578.462244,113.79,96.52
2012-09-18,79.25,6189.42,-1587.86295,112.03,95.47
2012-09-19,79.06,6139.89,-1641.038788,108.19,91.56
2012-09-20,79.41,6092.343333,-1632.126145,110.03,91.81
2012-09-21,79.33,6044.796667,-1646.721361,111.42,92.98
2012-09-24,79.52,5997.25,-1686.383381,109.81,92.05
2012-09-25,79.55,6021.17,-1730.549047,110.45,90.78
2012-09-26,79.89,5929.99,-1626.214059,110.04,90.14
2012-09-27,79.55,5944.706667,-1648.194528,112.01,92.3
2012-09-28,79.94,5959.423333,-1689.041473,112.39,92.09
2012-10-01,79.82,5974.14,-1723.834597,112.19,92.41
2012-10-02,79.74,5985.69,-1899.713879,111.57,91.66
2012-10-03,79.97,5983.36,-1693.366499,108.17,88.02
2012-10-04,79.35,5952.856667,-1726.994727,112.58,91.55
2012-10-05,79.34,5922.353333,-1753.977722,112.02,89.89
2012-10-08,79.54,5891.85,-1846.869613,111.82,89.72
2012-10-09,79.95,5887.07,-1934.438683,114.5,92.25
2012-10-10,79.92,5847.8,-2014.941758,114.33,91.28
2012-10-11,79.78,5805.79,-1984.275516,115.71,92.42
2012-10-12,79.67,5763.78,-1941.834409,114.62,91.64
2012-10-15,79.74,5721.77,-1859.604903,115.8,91.81
2012-10-16,79.41,5732.64,-1791.320366,115.07,92.03
2012-10-17,79.02,5793.22,-1904.838284,113.22,92.03
2012-10-18,79.37,5780.793333,-2030.926051,112.42,92.16
2012-10-19,79.62,5768.366667,-2060.916133,110.14,89.9
2012-10-22,79.65,5755.94,-2183.166716,109.44,87.12
2012-10-23,79.98,5712.1,-2366.576775,108.25,86.49
2012-10-24,79.91,5772.46,-2407.058758,107.85,85.63
2012-10-25,80.04,5775.14875,-2445.081066,108.49,85.99
2012-10-26,80.07,5777.8375,-2491.884759,109.55,86.12
2012-10-29,80.23,5780.52625,-2530.529734,109.44,85.25
2012-10-30,79.93,5783.215,-2587.030205,109.08,85.67
2012-10-31,79.92,5785.90375,-2531.561576,108.7,86.06
2012-11-01,80.05,5788.5925,-2580.538361,108.17,86.91
2012-11-02,80.59,5791.28125,-2577.122015,105.68,84.76
2012-11-05,80.75,5793.97,-2573.301163,107.73,85.72
2012-11-06,80.61,5908.72,-2538.244417,111.07,88.41
2012-11-07,80.76,5917.35,-2698.394797,106.82,84.5
2012-11-08,80.79,5873.01,-2723.984959,107.25,84.97
2012-11-09,81.03,5828.67,-2673.973042,109.4,86.14
2012-11-12,81.03,5784.33,-2691.524084,109.07,85.59
2012-11-13,81.08,5778.69,-2833.622002,108.26,85.33
2012-11-14,81.06,5783.42,-2817.502852,109.61,86.41
2012-11-15,81.08,5738.43,-2870.104699,110.98,85.25
2012-11-16,81.26,5693.44,-2816.179143,108.95,86.6
2012-11-19,80.87,5648.45,-2872.288666,111.7,89.19
2012-11-20,80.96,5631.83,-2916.875317,109.83,87.27
2012-11-21,80.93,5585.1,-2862.156533,110.86,87.69
2012-11-22,80.7,5581.47,-2850.68357,110.55,87.97999999999999
2012-11-23,80.19,5577.84,-2789.96135,111.38,88.27
2012-11-26,80.25,5574.21,-2790.349131,110.92,87.77
2012-11-27,80.4,5521.47,-2838.839478,109.87,87.34
2012-11-28,80.34,5562.7,-2745.126028,109.51,86.59
2012-11-29,80.2,5630.523333,-2860.307852,110.76,87.71
2012-11-30,80.15,5698.346667,-2857.481465,111.23,88.83
2012-12-03,79.88,5766.17,-2871.667249,110.92,88.89
2012-12-04,79.64,5738.88,-2888.44005,109.84,88.4
2012-12-05,79.77,5753.38,-2828.139089,108.81,87.89
2012-12-06,80.26,5764.63,-2823.204644,107.03,86.35
2012-12-07,80.41,5775.88,-2814.904237,107.02,85.92
2012-12-10,80.33,5787.13,-2835.130856,107.33,85.69
2012-12-11,80.06,5816.69,-2889.082713,108.01,85.71
2012-12-12,79.81,5813.51,-2882.980251,109.5,86.78
2012-12-13,79.93,5867.17,-2904.597909,107.91,86.14
2012-12-14,79.58,5920.83,-2860.605014,109.15,86.82
2012-12-17,79.57,5974.49,-2791.927853,107.64,87.45
2012-12-18,79.36,5951.42,-2831.024562,108.84,87.96
2012-12-19,79.27,5968.28,-2827.829778,110.36,89.91
2012-12-20,79.26,5950.426667,-2856.239568,110.2,89.92
2012-12-21,79.62,5932.573333,-2940.552411,108.97,88.91
2012-12-24,79.64,5914.72,-2967.016261,108.8,88.79
2012-12-26,79.62,5912.11,-2935.945684,111.07,91.14
2012-12-27,79.62,5893.54,-2927.349525,110.8,91.09
2012-12-28,79.68,5874.97,-2983.009153,110.62,90.76
2012-12-31,79.77,5856.4,-3003.710698,111.11,91.77
2013-01-02,79.84,6049.88,-3021.107106,112.47,92.94
2013-01-03,80.38,6060.526667,-3059.452685,112.14,92.84
2013-01-04,80.5,6071.173333,-3062.072006,111.31,93.17
2013-01-07,80.26,6081.82,-3045.905505,111.4,93.31
2013-01-08,80.34,6100.9,-3061.334297,111.94,93.16
2013-01-09,80.56,6158.27,-3166.50643,111.76,93.25
2013-01-10,79.74,6129.01,-3192.901402,111.89,93.88
2013-01-11,79.56,6099.75,-3177.942954,110.64,93.76
2013-01-14,79.49,6070.49,-3122.696535,111.88,94.19
2013-01-15,79.78,6054.42,-3233.03123,110.3,93.42
2013-01-16,79.8,6075.2,-3124.587957,110.61,94.16
2013-01-17,79.65,6047.286667,-3105.270252,111.1,95.2
2013-01-18,80.04,6019.373333,-3027.613244,111.89,95.31
2013-01-21,80.04,5991.46,-3005.079602,111.71,95.775
2013-01-22,79.87,5979.93,-2935.777901,112.42,96.24
2013-01-23,79.92,5989.6,-3015.625754,112.8,95.56
2013-01-24,79.95,5996.683333,-3023.280638,113.28,95.97
2013-01-25,79.75,6003.766667,-3069.8153,113.28,96.09
2013-01-28,79.78,6010.85,-3070.702666,113.48,96.55
2013-01-29,79.56,6013.28,-2960.330135,114.36,97.34
2013-01-30,79.28,6036.92,-2953.526331,114.9,98.03
2013-01-31,79.21,6032.493333,-2931.881416,115.55,97.42
2013-02-01,79.13,6028.066667,-2827.751048,116.76,97.62
2013-02-04,79.55,6023.64,-2884.728408,115.6,96.12
2013-02-05,79.49,5999.01,-2937.775316,116.52,96.67
2013-02-06,79.72,5970.11,-2927.659768,116.73,96.81
2013-02-07,80.19,5990.076667,-2877.755149,117.24,95.9
2013-02-08,80.25,6010.043333,-2904.825057,118.9,95.75
2013-02-11,80.31,6030.01,-2861.25803,118.13,97.0
2013-02-12,80.11,6040.72,-2748.753176,118.66,97.57
2013-02-13,80.09,6033.15,-2815.935422,118.72,97.17
2013-02-14,80.46,6025.496667,-2755.253161,118.0,97.33
2013-02-15,80.58,6017.843333,-2809.805318,117.66,96.12
2013-02-18,80.58,6010.19,-2821.210898,117.38,96.39500000000001
2013-02-19,80.47,5967.82,-2762.760143,117.52,96.67
2013-02-20,81.07,5991.16,-2829.931752,115.6,95.56
2013-02-21,81.46,5988.85,-2904.042896,113.53,92.92
2013-02-22,81.48,5986.54,-3008.671583,114.1,93.35
2013-02-25,81.67,5984.23,-2949.156627,114.44,92.1
2013-02-26,81.87,5923.31,-3000.094328,112.71,92.72
2013-02-27,81.6,5916.14,-3001.123798,111.87,92.84
2013-02-28,81.95,5914.16,-3000.741559,111.38,91.84
2013-03-01,82.31,5912.18,-3048.912263,110.4,90.97
2013-03-04,82.19,5910.2,-3112.15107,110.09,90.22
2013-03-05,82.09,5934.02,-3299.181588,111.61,90.83
2013-03-06,82.46,5985.98,-3348.812074,111.06,90.43
2013-03-07,82.08,5995.963333,-3394.435193,111.15,91.41
2013-03-08,82.7,6005.946667,-3384.223506,110.85,91.88
2013-03-11,82.57,6015.93,-3368.369436,110.22,91.97
2013-03-12,82.58,5995.47,-3536.290314,109.65,92.61
2013-03-13,82.89,6017.05,-3594.120899,108.52,92.48
2013-03-14,82.61,6033.53,-3585.36013,109.42,93.18
2013-03-15,82.26,6050.01,-3660.079152,109.82,93.5
2013-03-18,82.69,6066.49,-3863.410121,109.51,93.83
2013-03-19,82.99,6075.5,-3638.395598,107.45,92.2
2013-03-20,82.78,6120.66,-3637.889915,108.72,92.96
2013-03-21,82.74,6160.343333,-3610.119261,107.47,92.38
2013-03-22,82.38,6200.026667,-3596.731251,107.66,93.87
2013-03-25,82.83,6239.71,-3796.525267,108.17,94.65
2013-03-26,82.88,6267.11,-3857.168996,109.36,96.18
2013-03-27,83.22,6268.21,-3821.001576,109.69,96.72
2013-03-28,83.0,6242.26,-3835.93442,110.02,97.19
2013-04-01,82.73,6216.31,-3816.451684,111.08,96.95
2013-04-02,82.92,6192.3,-3734.393437,110.69,96.92
2013-04-03,82.72,6220.34,-3857.22397,107.11,94.5
2013-04-04,82.68,6188.636667,-3691.771672,106.34,93.36
2013-04-05,82.5,6156.933333,-3796.143699,104.12,93.01
2013-04-08,82.75,6125.23,-3640.935271,104.66,93.55
2013-04-09,82.31,6116.69,-3733.390935,106.23,93.97
2013-04-10,82.53,6142.44,-3893.692511,105.79,94.54
2013-04-11,82.25,6070.38,-3840.113968,104.27,93.5
2013-04-12,82.31,5998.32,-3892.274289,103.11,90.66
2013-04-15,82.42,5926.26,-3770.216602,100.39,87.44
2013-04-16,81.75,5867.8,-3720.247698,99.91,88.84
2013-04-17,82.68,5871.29,-3748.283463,97.69,86.4
2013-04-18,82.56,5882.4,-3744.996651,99.13,88.4
2013-04-19,82.71,5893.51,-3836.116475,99.65,87.98
2013-04-22,82.68,5904.62,-3814.50407,100.39,88.76
2013-04-23,83.05,5884.62,-3858.978936,100.31,89.5
2013-04-24,83.05,5877.46,-3981.001559,101.73,91.65
2013-04-25,82.74,5869.446667,-3933.33301,103.41,93.28
2013-04-26,82.5,5861.433333,-4000.509669,103.16,92.8
2013-04-29,82.15,5853.42,-3897.441358,103.81,94.45
2013-04-30,81.75,5858.46,-3998.194551,102.37,93.06
2013-05-01,81.48,5870.46,-4018.310236,99.95,90.97
2013-05-02,82.22,5876.526667,-4017.616547,102.85,94.03
2013-05-03,82.13,5882.593333,-3870.100963,104.19,95.58
2013-05-06,82.31,5888.66,-4067.448154,105.46,95.78
2013-05-07,82.25,5890.62,-4060.780698,104.4,95.47
2013-05-08,81.9,5918.66,-3948.586783,104.34,96.64
2013-05-09,82.79,5916.856667,-4051.554144,104.47,96.18
2013-05-10,83.14,5915.053333,-4012.167994,103.91,95.9
2013-05-13,83.28,5913.25,-4212.788814,102.82,94.95
2013-05-14,83.59,5959.7,-4284.977594,102.6,94.17
2013-05-15,83.83,5959.72,-4298.804981,103.68,94.38
2013-05-16,83.59,6000.31,-4192.695952,103.8,95.19
2013-05-17,84.25,6040.9,-4224.336086,104.64,96.02
2013-05-20,83.74,6081.49,-4079.336987,104.8,96.58
2013-05-21,83.86,6141.13,-4199.144951,103.91,96.16
2013-05-22,84.35,6133.03,-4226.144719,102.6,94.09
2013-05-23,83.8,6120.983333,-4366.492528,102.44,94.41
2013-05-24,83.7,6108.936667,-4368.134113,102.64,93.85
2013-05-27,83.7,6096.89,-4498.913068,102.62,94.475
2013-05-28,84.1,6111.16,-4359.421218,104.23,95.1
2013-05-29,83.66,6083.42,-4572.093143,102.43,92.89
2013-05-30,83.04,6108.173333,-4642.027332,102.19,93.59
2013-05-31,83.38,6132.926667,-4601.876475,100.39,91.67
2013-06-03,82.66,6157.68,-4584.935813,102.06,93.34
2013-06-04,82.77,6179.37,-4537.751925,103.24,93.84
2013-06-05,82.59,6194.24,-4463.92147,103.04,93.78
2013-06-06,81.54,6192.306667,-4659.311782,103.61,94.75
2013-06-07,81.67,6190.373333,-4650.333265,104.56,96.27
2013-06-10,81.65,6188.44,-4682.01917,103.95,95.75
2013-06-11,81.11,6161.59,-4954.733729,102.96,94.89
2013-06-12,80.95,6168.38,-4980.806666,103.49,95.8
2013-06-13,80.75,6128.426667,-4870.166669,104.25,96.69
2013-06-14,80.67,6088.473333,-4830.36893,105.93,97.81
2013-06-17,80.79,6048.52,-5021.173744,105.47,97.91
2013-06-18,80.75,6103.49,-5169.834533,106.02,98.59
2013-06-19,81.43,6116.01,-5219.085713,106.12,97.92
2013-06-20,81.92,6090.366667,-5237.479405,102.15,95.4
2013-06-21,82.32,6064.723333,-5270.743686,100.91,93.87
2013-06-24,82.42,6039.08,-5107.7938,101.16,94.94
2013-06-25,82.58,6034.39,-5180.211543,101.26,95.2
2013-06-26,82.98,6026.63,-5147.327849,101.66,95.43
2013-06-27,82.9,6042.803333,-5173.293018,102.82,96.82
2013-06-28,83.14,6058.976667,-5189.642773,102.16,96.49
2013-07-01,83.05,6075.15,-5201.104745,103.0,98.06
2013-07-02,83.54,6080.65,-5450.971881,104.0,99.61
2013-07-03,83.23,6063.57,-5445.617456,105.76,101.16
2013-07-04,83.23,6129.6,-5498.978744,105.54,102.36
2013-07-05,84.45,6152.81,-5564.782679,107.72,103.56
2013-07-08,84.19,6176.02,-5534.752417,107.43,103.05
2013-07-09,84.58,6203.48,-5610.739054,107.81,104.53
2013-07-10,84.04,6204.14,-5245.431383,108.51,106.12
2013-07-11,82.75,6200.38,-5186.720866,107.73,104.62
2013-07-12,82.99,6194.305,-5207.341503,108.81,106.22
2013-07-15,83.04,6188.23,-5305.68275,109.09,106.47
2013-07-16,82.5,6128.2,-5276.782254,109.4,105.86
2013-07-17,82.71,6081.61,-5245.27261,108.61,106.54
2013-07-18,82.82,6069.29,-5186.032142,108.7,108.14
2013-07-19,82.61,6097.125,-5224.598194,108.07,108.22
2013-07-22,82.22,6124.96,-5288.132031,108.15,106.91
2013-07-23,81.94,6134.07,-5203.109216,108.42,107.42
2013-07-24,82.29,6116.16,-5210.085081,107.19,105.29
2013-07-25,81.97,6125.79,-5089.428173,107.65,105.59
2013-07-26,81.66,6124.295,-5020.992702,107.17,104.56
2013-07-29,81.66,6122.8,-5036.522747,107.45,104.55
2013-07-30,81.83,6144.93,-5017.554373,106.91,103.1
2013-07-31,81.45,6147.58,-4955.166816,107.7,105.35
2013-08-01,82.34,6145.45,-4980.121438,109.54,107.8
2013-08-02,81.91,6206.25,-4933.23871,108.95,106.81
2013-08-05,81.88,6267.05,-4986.128683,108.7,106.45
2013-08-06,81.6,6278.693333,-4987.000031,108.18,105.72
2013-08-07,81.29,6290.336667,-5004.323347,107.44,104.22
2013-08-08,80.98,6301.98,-4830.97793,106.68,103.83
2013-08-09,81.13,6313.623333,-4682.390683,108.22,106.09
2013-08-12,81.33,6325.266667,-4600.30338,108.97,106.14
2013-08-13,81.77,6336.91,-4493.809863,109.82,106.56
2013-08-14,81.71,6335.83,-4442.040746,110.2,106.98
2013-08-15,81.18,6389.44,-4489.979918,111.11,107.28
2013-08-16,81.26,6420.205,-4556.105745,110.4,107.64
2013-08-19,81.23,6450.97,-4547.980442,109.9,106.94
2013-08-20,80.91,6454.37,-4512.320396,110.15,104.97
2013-08-21,81.21,6470.41,-4355.287246,109.81,103.88
2013-08-22,81.49,6453.66,-4310.534185,109.9,105.19
2013-08-23,81.36,6388.43,-4202.437598,111.04,106.36
2013-08-26,81.41,6323.2,-4229.164776,110.73,106.12
2013-08-27,81.17,6103.69,-4190.210288,114.36,109.05
2013-08-28,81.43,6162.6,-4161.324371,116.61,109.5
2013-08-29,81.95,6152.06,-4180.731506,115.16,108.19
2013-08-30,82.09,6214.5,-3925.479979,114.01,107.77
2013-09-02,82.09,6276.94,-3879.698398,114.33,108.12
2013-09-03,82.36,6239.32,-3878.309615,115.68,108.47
2013-09-04,82.17,6135.73,-3879.005028,114.91,107.34
2013-09-05,82.63,6125.86,-3824.834378,115.26,108.5
2013-09-06,82.15,6137.53,-3881.149885,116.12,110.3
2013-09-09,81.79,6149.2,-3959.201016,113.72,108.96
2013-09-10,81.82,6286.86,-3800.295047,111.25,107.31
2013-09-11,81.52,6267.05,-3906.615513,111.5,107.72
2013-09-12,81.49,6291.97,-3914.535577,112.63,108.74
2013-09-13,81.45,6361.28,-3846.629795,112.78,108.58
2013-09-16,81.3,6430.59,-3923.726846,110.07,106.16
2013-09-17,81.14,6412.82,-3937.903742,108.19,105.5
2013-09-18,80.24,6374.06,-3821.728093,110.6,108.18
2013-09-19,80.37,6408.15,-3727.677545,108.76,106.16
2013-09-20,80.43,6397.306667,-3727.379253,109.22,104.68
