USD,SENT,Price
79.64,-2888.44005,109.84
79.77,-2828.139089,108.81
80.26,-2823.204644,107.03
80.41,-2814.904237,107.02
80.33,-2835.130856,107.33
80.06,-2889.082713,108.01
79.81,-2882.980251,109.5
79.93,-2904.597909,107.91
79.58,-2860.605014,109.15
79.57,-2791.927853,107.64
79.36,-2831.024562,108.84
79.27,-2827.829778,110.36
79.26,-2856.239568,110.2
79.62,-2940.552411,108.97
79.64,-2967.016261,108.8
79.62,-2935.945684,111.07
79.62,-2927.349525,110.8
79.68,-2983.009153,110.62
79.77,-3003.710698,111.11
79.84,-3021.107106,112.47
80.38,-3059.452685,112.14
80.5,-3062.072006,111.31
80.26,-3045.905505,111.4
80.34,-3061.334297,111.94
80.56,-3166.50643,111.76
79.74,-3192.901402,111.89
79.56,-3177.942954,110.64
79.49,-3122.696535,111.88
79.78,-3233.03123,110.3
79.8,-3124.587957,110.61
79.65,-3105.270252,111.1
80.04,-3027.613244,111.89
80.04,-3005.079602,111.71
79.87,-2935.777901,112.42
79.92,-3015.625754,112.8
79.95,-3023.280638,113.28
79.75,-3069.8153,113.28
79.78,-3070.702666,113.48
79.56,-2960.330135,114.36
79.28,-2953.526331,114.9
79.21,-2931.881416,115.55
79.13,-2827.751048,116.76
79.55,-2884.728408,115.6
79.49,-2937.775316,116.52
79.72,-2927.659768,116.73
80.19,-2877.755149,117.24
80.25,-2904.825057,118.9
80.31,-2861.25803,118.13
80.11,-2748.753176,118.66
80.09,-2815.935422,118.72
80.46,-2755.253161,118
80.58,-2809.805318,117.66
80.58,-2821.210898,117.38
80.47,-2762.760143,117.52
81.07,-2829.931752,115.6
81.46,-2904.042896,113.53
81.48,-3008.671583,114.1
81.67,-2949.156627,114.44
81.87,-3000.094328,112.71
81.6,-3001.123798,111.87
81.95,-3000.741559,111.38
82.31,-3048.912263,110.4
82.19,-3112.15107,110.09
82.09,-3299.181588,111.61
82.46,-3348.812074,111.06
82.08,-3394.435193,111.15
82.7,-3384.223506,110.85
82.57,-3368.369436,110.22
82.58,-3536.290314,109.65
82.89,-3594.120899,108.52
82.61,-3585.36013,109.42
82.26,-3660.079152,109.82
82.69,-3863.410121,109.51
82.99,-3638.395598,107.45
82.78,-3637.889915,108.72
82.74,-3610.119261,107.47
82.38,-3596.731251,107.66
82.83,-3796.525267,108.17
82.88,-3857.168996,109.36
83.22,-3821.001576,109.69
83,-3835.93442,110.02
82.73,-3816.451684,111.08
82.92,-3734.393437,110.69
82.72,-3857.22397,107.11
82.68,-3691.771672,106.34
82.5,-3796.143699,104.12
82.75,-3640.935271,104.66
82.31,-3733.390935,106.23
82.53,-3893.692511,105.79
82.25,-3840.113968,104.27
82.31,-3892.274289,103.11
82.42,-3770.216602,100.39
81.75,-3720.247698,99.91
82.68,-3748.283463,97.69
82.56,-3744.996651,99.13
82.71,-3836.116475,99.65
82.68,-3814.50407,100.39
83.05,-3858.978936,100.31
83.05,-3981.001559,101.73
82.74,-3933.33301,103.41
82.5,-4000.509669,103.16
82.15,-3897.441358,103.81
81.75,-3998.194551,102.37
81.48,-4018.310236,99.95
82.22,-4017.616547,102.85
82.13,-3870.100963,104.19
82.31,-4067.448154,105.46
82.25,-4060.780698,104.4
81.9,-3948.586783,104.34
82.79,-4051.554144,104.47
83.14,-4012.167994,103.91
83.28,-4212.788814,102.82
83.59,-4284.977594,102.6
83.83,-4298.804981,103.68
83.59,-4192.695952,103.8
84.25,-4224.336086,104.64
83.74,-4079.336987,104.8
83.86,-4199.144951,103.91
84.35,-4226.144719,102.6
83.8,-4366.492528,102.44
83.7,-4368.134113,102.64
83.7,-4498.913068,102.62
84.1,-4359.421218,104.23
83.66,-4572.093143,102.43
83.04,-4642.027332,102.19
83.38,-4601.876475,100.39
82.66,-4584.935813,102.06
82.77,-4537.751925,103.24
82.59,-4463.92147,103.04
81.54,-4659.311782,103.61
81.67,-4650.333265,104.56
81.65,-4682.01917,103.95
81.11,-4954.733729,102.96
80.95,-4980.806666,103.49
80.75,-4870.166669,104.25
80.67,-4830.36893,105.93
80.79,-5021.173744,105.47
80.75,-5169.834533,106.02
81.43,-5219.085713,106.12
81.92,-5237.479405,102.15
82.32,-5270.743686,100.91
82.42,-5107.7938,101.16
82.58,-5180.211543,101.26
82.98,-5147.327849,101.66
82.9,-5173.293018,102.82
83.14,-5189.642773,102.16
83.05,-5201.104745,103
83.54,-5450.971881,104
83.23,-5445.617456,105.76
83.23,-5498.978744,105.54
84.45,-5564.782679,107.72
84.19,-5534.752417,107.43
84.58,-5610.739054,107.81
84.04,-5245.431383,108.51
82.75,-5186.720866,107.73
82.99,-5207.341503,108.81
83.04,-5305.68275,109.09
82.5,-5276.782254,109.4
82.71,-5245.27261,108.61
82.82,-5186.032142,108.7
82.61,-5224.598194,108.07
82.22,-5288.132031,108.15
81.94,-5203.109216,108.42
82.29,-5210.085081,107.19
81.97,-5089.428173,107.65
81.66,-5020.992702,107.17
81.66,-5036.522747,107.45
81.83,-5017.554373,106.91
81.45,-4955.166816,107.7
82.34,-4980.121438,109.54
81.91,-4933.23871,108.95
81.88,-4986.128683,108.7
81.6,-4987.000031,108.18
81.29,-5004.323347,107.44
80.98,-4830.97793,106.68
81.13,-4682.390683,108.22
81.33,-4600.30338,108.97
81.77,-4493.809863,109.82
81.71,-4442.040746,110.2
81.18,-4489.979918,111.11
81.26,-4556.105745,110.4
81.23,-4547.980442,109.9
80.91,-4512.320396,110.15
81.21,-4355.287246,109.81
81.49,-4310.534185,109.9
81.36,-4202.437598,111.04
81.41,-4229.164776,110.73
81.17,-4190.210288,114.36
81.43,-4161.324371,116.61
81.95,-4180.731506,115.16
82.09,-3925.479979,114.01
82.09,-3879.698398,114.33
82.36,-3878.309615,115.68
82.17,-3879.005028,114.91
82.63,-3824.834378,115.26
82.15,-3881.149885,116.12
81.79,-3959.201016,113.72
81.82,-3800.295047,111.25
81.52,-3906.615513,111.5
81.49,-3914.535577,112.63
81.45,-3846.629795,112.78
81.3,-3923.726846,110.07
81.14,-3937.903742,108.19
80.24,-3821.728093,110.6
80.37,-3727.677545,108.76
80.43,-3727.379253,109.22
80.45,-3612.618382,108.16
80.56,-3717.138221,108.64
80.33,-3612.476216,108.32
80.52,-3663.367008,109.21
80.27,-3517.684252,108.63
80.22,-3493.931584,108.37
80.14,-3494.568048,107.94
79.9,-3521.256392,109.19
79.75,-3497.374052,109
80.12,-3424.917895,109.46
79.94,-3454.586677,109.68
80.06,-3303.564269,110.16
80.38,-3313.085281,109.06
80.42,-3253.106457,111.8
80.36,-3288.04562,111.28
80.26,-3040.641838,111.04
80.48,-3030.096381,109.96
80.47,-3071.435326,110.86
79.65,-3127.461882,109.11
79.65,-3240.352295,109.94
79.69,-3421.058363,109.64
79.23,-3511.827838,109.97
79.26,-3530.210522,107.8
79.19,-3633.080553,106.99
79.19,-3698.386658,106.93
79.25,-3675.634835,109.61
79.61,-3568.923609,109.01
79.78,-3568.419452,109.86
80.19,-3536.912132,108.84
80.72,-3475.64404,105.91
80.55,-3361.175745,106.23
80.71,-3429.164138,105.33
80.48,-3469.991609,105.24
80.84,-3418.15907,103.46
81.3,-3426.529638,105.12
81.09,-3482.153825,106.4
81.19,-3488.549628,105.81
80.93,-3724.680905,107.12
81.02,-3670.06628,108.54
80.85,-3611.321109,108.5
80.83,-3818.344432,108.47
80.7,-3817.427701,106.92
81.11,-3939.460252,108.06
81.07,-4029.441027,110.08
80.71,-4001.304337,111.05
80.92,-3915.034071,111
80.61,-3999.592617,110.88
80.72,-4175.871056,111.31
80.58,-4206.278247,110.86
80.68,-4059.004955,109.69
80.92,-4009.466666,111.45
80.61,-4008.874683,112.62
80.62,-3874.706924,111.88
80.23,-3914.47052,110.98
80.31,-3929.067509,111.61
80.13,-3928.664561,109.39
79.97,-3988.0482,109.38
79.89,-3956.541388,109.7
80.21,-3954.83692,108.67
80.21,-3912.573211,108.83
80.07,-3897.006216,110.47
80.06,-3851.499365,108.44
80.11,-3685.371561,109.63
80.63,-3702.070884,110.29
80.58,-3771.801064,111.77
80.45,-3820.659791,111.56
80.53,-3678.274256,111.9
80.48,-3687.947631,111.98
80.39,-3687.097864,112.18
80,-3809.274794,111.21
80.03,-3744.189959,110.8
80.63,-3719.271544,107.78
80.79,-3659.556693,106.89
80.65,-3808.112427,106.73
80.83,-4121.69499,107.35
81.02,-4174.499939,107.15
81,-4167.538902,106.39
80.66,-4249.047271,107.25
80.51,-4128.251086,106.75
80.66,-4048.358001,106.39
81.03,-4212.13351,107.13
80.91,-4222.188724,107.09
81.22,-4301.139531,106.48
81.22,-4218.990685,106.35
81.1,-4126.114849,106.73
81.17,-4267.605948,108.27
80.44,-4164.451139,107.58
80.46,-4293.923462,107.88
80.52,-4335.842422,106.69
80.57,-4268.580409,107.41
80.5,-4320.451946,107.85
81.08,-4221.417184,107.95
81.31,-4178.965216,106.4
81.01,-4206.498627,106.04
81.12,-4304.932774,105.78
81.04,-4367.597056,106.25
80.91,-4425.786414,107.19
80.69,-4462.329446,109.57
80.64,-4447.754597,108.63
80.64,-4454.133952,108.68
80.68,-4099.886942,108.79
80.32,-4204.525769,108.73
80.14,-4196.034664,109.08
80.14,-4111.747011,109.18
80.01,-4123.585139,110.46
80.14,-4216.431963,110.47
80.29,-4267.008974,110.3
80.24,-4264.139209,109.85
80.2,-4257.757654,110.64
80.14,-4437.590534,109.51
80.43,-4455.672563,109.52
80.28,-4451.643951,108.96
79.69,-4489.607778,109.07
80.08,-4544.282958,111.2
80.17,-4611.857834,109.3
80.11,-4543.477701,107.76
79.66,-4617.046856,108.1
79.72,-4668.880736,109
79.77,-4776.612722,108.08
79.74,-4778.093458,108.55
79.61,-4730.642897,108.02
79.62,-4630.790498,107.39
79.45,-4662.484476,108.57
79.39,-4650.859859,106.24
79.41,-4772.119806,106.79
80.02,-4838.385861,105.85
80.19,-4761.046234,106.45
80.12,-4826.124298,106.92
79.95,-4370.108234,106.81
79.94,-4462.215683,106.99
80.01,-4250.807663,107.03
80.13,-4107.640553,107.83
80.18,-4039.510496,108.07
80.11,-3928.000791,107.76
80.09,-4081.102039,105.62
80.22,-3893.420291,104.79
80.46,-3839.345806,106.15
80.42,-3771.893189,106.72
80.22,-3838.357766,105.82
79.77,-3868.2962,107.67
79.53,-3792.1362,107.98
79.41,-3779.941388,107.46
79.45,-3879.826923,107.33
79.76,-3973.412599,109.07
79.79,-3993.553311,108.74
79.83,-4049.606455,109.6
79.87,-4189.165361,109.53
79.95,-4227.354769,109.95
79.89,-4416.99209,109.27
79.86,-4350.188033,109.11
79.77,-4281.783632,110.33
79.75,-4336.628207,109.58
79.7,-4439.035847,108.12
79.81,-4579.152922,108.98
79.51,-4570.064013,108.07
79.52,-4525.150048,107.76
79.51,-4540.278117,108.59
79.51,-4578.321598,107.72
79.14,-4634.170968,107.06
79.24,-4621.719248,108.13
79.44,-4440.360618,108.04
79.87,-4481.829269,107.89
79.89,-4460.900285,108.41
80.12,-4630.08554,109.24
80.06,-4611.922493,110.19
80.02,-4640.451678,110.44
80.06,-4639.393474,109.75
80.02,-4639.261846,109.37
80.04,-4711.751378,109.69
80.07,-4738.908972,110.55
80.22,-4887.156142,110.36
80.35,-5004.225132,110.54
80.29,-5054.143116,110.32
80.35,-5094.912674,110.02
80.55,-5168.264483,109.81
80.5,-5117.096517,109.97
80.39,-5034.406374,109.41
80.63,-4990.238523,108.83
80.54,-4942.410383,108.82
80.67,-4880.434724,108.4
80.37,-4878.494946,108.79
80.43,-4915.480799,108.61
80.62,-4850.476798,109.99
80.81,-4949.973212,109.52
80.77,-4850.311924,109.95
80.58,-4900.648086,113.02
80.61,-4853.205188,113.41
80.44,-4872.19843,112.94
80.6,-4936.592309,113.45
80.41,-4839.450965,114.26
80.32,-4845.629919,115.06
80.33,-4852.740201,114.81
80.27,-4750.263274,114.12
80.32,-4676.996349,114.46
80.2,-4664.791216,114
80.21,-4625.246412,113.21
80.04,-4620.266774,113.3
79.78,-4572.578115,112.36
79.82,-4565.642409,112.29
79.94,-4530.671734,111.24
80.21,-4585.470492,111
80.21,-4568.214603,110.64
80.22,-4550.958714,110.24
80.17,-4604.38632,108.94
80.03,-4548.208854,108.28
80.12,-4483.988529,108.67
80.19,-4502.426166,106.66
80.17,-4491.029228,106.98
80.38,-4487.224281,106.02
80.53,-4505.7394,105.85
80.53,-4457.137348,107.89
80.5,-4452.214129,107.24
80.56,-4403.724459,107.68
80.78,-4376.114174,107.33
80.81,-4380.851225,108.03
80.87,-4392.587725,107.07
81.03,-4412.891515,108.39
81.01,-4380.086301,107.57
81.21,-4417.031102,107.72
81.4,-4393.437576,106.51
81.46,-4384.060353,106.02
81.3,-4401.363336,104.84
81.32,-4312.626257,105.41
81.53,-4307.058487,104.61
81.43,-4335.301067,104.59
81.43,-4271.365419,105.44
81.39,-4224.861234,105.02
81.46,-4322.913314,104.68
81.51,-4411.666811,103.02
81.61,-4479.426632,104.28
81.62,-4507.885735,102.01
81.42,-4501.83205,103.53
81.57,-4576.156403,101.6
81.87,-4543.078061,101.56
82.24,-4509.775761,102.28
82.16,-4476.274563,102.63
82.33,-4447.00343,102.29
82.58,-4498.474328,102.65
82.67,-4452.484381,102.5
82.47,-4449.533259,102.72
82.49,-4474.008435,102.46
82.74,-4492.838516,103.19
82.74,-4462.572176,102.79
82.97,-4562.094303,100.34
82.85,-4455.804756,102.77
83.85,-4426.195934,101.83
83.76,-4426.354275,100.82
84.3,-4444.725664,100.2
84.17,-4531.44973,99.16
84.2,-4566.169008,98.04
84.27,-4669.757002,98.08
84.17,-4837.602428,97.11
84.25,-4803.084299,96.65
84.11,-4911.590613,99.05
84.73,-4979.804803,98.97
84.29,-5021.209991,97.7
84.73,-5019.866321,98.39
84.7,-4992.823263,96.97
84.7,-5064.164993,96.85
85.06,-5046.560054,96.95
85.18,-5034.850938,97
85.62,-5064.976662,97
85.62,-5085.54062,97.2
85.93,-5156.539664,94.67
85.91,-5122.480765,94.16
85.61,-5185.376543,93.42
86.64,-5178.978745,92.31
85.78,-5122.543482,92.79
85.66,-5225.904209,92.11
85.32,-5299.850745,91.38
85.55,-5262.113475,90.05
85.91,-5295.908515,90.21
85.22,-5198.162278,88.89
85.88,-5325.992365,85.04
84.86,-5523.75492,83.78
84.96,-5547.307892,84.47
85.2,-5586.194157,86.16
85.02,-5605.079342,85.4
85.4,-5592.492201,86.22
85.75,-5756.805848,84.71
85.83,-6047.993117,86.83
85.73,-6034.180474,86.13
85.58,-6170.984942,85.83
85.41,-6276.294649,86.03
86,-6485.499902,87.12
86.17,-6549.370017,86.24
86.92,-6476.543368,85.86
87.29,-6560.335367,84.78
87,-6716.025057,82.82
87.47,-6913.069508,82.95
88.07,-7004.543886,82.86
87.64,-6969.968476,83.39
87.78,-6946.323589,82.34
87.59,-6971.945859,81.67
87.84,-6874.368304,80.38
87.77,-6855.805273,77.92
87.53,-6830.854424,79.41
88,-6887.469815,79.31
87.61,-6907.559258,78.47
87.69,-6951.831872,78.1
87.7,-7041.422158,79.33
88.31,-7015.713318,80.36
88.15,-7172.839376,79.68
87.9,-7163.38726,78.33
87.67,-7327.187474,77.75
88.01,-7325.078666,72.58
88.22,-7517.559868,70.15
87.98,-7821.296184,72.54
88.63,-7814.058275,70.54
88.96,-7811.641974,69.92
88.6,-7804.049066,69.64
89.36,-7911.996967,69.07
89.12,-8012.031248,66.19
88.69,-8035.38443,66.84
88.22,-8060.586199,64.24
88.55,-8349.927678,63.68
88.32,-8467.574985,61.85
88.43,-8606.646512,61.06
87.97,-8866.324538,59.86
89.08,-8900.367169,61.18
89.24,-9014.004729,59.27
89.6,-8907.206043,61.38
89.78,-8861.369481,60.11
90.07,-8743.959181,61.69
89.92,-8833.541433,60.24
90.03,-8898.633451,59.45
90.2,-8779.037944,57.88
89.94,-9162.713567,57.9
90.28,-9152.939914,57.33
91.16,-8947.767357,56.42
91.37,-9103.92201,53.11
91.75,-9474.293273,51.1
92.02,-9922.463694,51.15
92.31,-10087.0317,50.96
91.92,-10110.18176,50.11
92.08,-10445.91967,47.43
92.22,-10339.37547,46.59
92.09,-10716.90415,48.69
92.14,-10688.85671,47.67
92.52,-10623.23708,50.17
92.61,-10621.76097,48.84
93,-10490.95692,47.99
92.71,-10587.21923,49.03
94.19,-10743.17906,48.52
94.99,-10639.63293,48.79
94.93,-10555.34558,48.16
94.08,-10703.19312,49.6
94.63,-10674.07189,48.47
94.68,-10648.03485,49.13
94.85,-10742.52948,52.99
94.56,-10657.41731,54.75
93.75,-10925.30203,57.91
94.57,-10934.66194,54.16
93.59,-10989.00549,56.57
94.65,-11056.72748,57.8
94.51,-10930.9177,58.34
94.74,-11234.281,56.43
94.92,-11338.54376,54.66
94.18,-11324.09479,57.05
94.19,-11276.19204,61.52
94.19,-11187.19229,61.4
94.13,-11077.60136,62.53
94.1,-11044.27745,60.53
94.39,-11101.34844,60.21
94.25,-10995.39102,60.22
94.55,-11045.23113,58.9
94.48,-11082.26382,58.66
94.2,-11134.19933,61.63
95.26,-11223.80661,60.05
95.25,-11355.51318,62.58
95.47,-11421.72393,59.54
95.37,-11414.30842,61.02
95.91,-11533.46044,60.55
96.35,-11555.53761,60.48
97.72,-11609.83256,59.73
97.66,-11668.96497,58.53
98.67,-11770.83,56.39
99.67,-11939.45099,57.54
99.27,-11825.48092,57.08
100.18,-11774.12048,54.67
99.69,-11626.12428,53.44
99.65,-11646.63237,53.51
97.82,-11486.55575,55.91
99.07,-11379.70525,54.43
97.8,-11382.61484,55.32
96.96,-11521.29656,55.92
97.24,-11416.81711,55.11
96.92,-11552.42648,56.48
97.42,-11615.12948,59.19
97.39,-11726.94062,56.41
97.96,-11844.06012,56.29
98.38,-12006.0862,55.11
98.12,-12056.70311,57.1
97.53,-12124.49365,54.95
97.06,-12054.08314,58.12
97.91,-11839.30159,59.1
98.06,-11982.37802,55.55
98.97,-12226.36416,56.57
99.35,-12088.94519,57.87
99.51,-12356.49907,57.93
98.78,-12473.89288,58.43
98.39,-12542.09855,60.32
97.69,-12468.94482,63.98
97.45,-12533.72639,63.45
97.91,-12639.18613,63.45
97.98,-12726.29951,62.08
98.06,-12484.03521,62.73
97.31,-12509.84106,64.85
96.86,-12554.60357,65.28
96.86,-12531.08287,64.83
96.11,-12613.41046,64.64
95.21,-12980.14872,65.84
94.81,-12957.70216,66.78
95.21,-13025.19935,66.46
95.44,-13075.3092,66.45
95.14,-13016.31089,67.52
94.16,-13210.80791,67.77
94.62,-13300.45876,65.54
94.82,-13457.26017,65.39
95.03,-13427.20966,64.91
94.56,-13268.88387,66.86
93.62,-13295.95339,66.81
93.39,-13559.88445,66.59
93.23,-13680.6485,66.81
94.16,-13897.41437,66.27
95.31,-13984.05025,64.02
95.59,-13508.72902,65.03
95.4,-13545.49824,66.54
96.14,-13639.5513,65.37
96.38,-13456.20244,65.52
97.22,-13507.29364,63.72
97.3,-13623.1983,62.06
96.88,-13730.28061,62.58
96.89,-13698.35522,65.56
97.43,-13895.36004,64.88
95.94,-13899.70162,65.49
95.36,-13837.21688,63.8
95.58,-14030.28095,62.03
96.34,-13925.92198,63.31
95.25,-13916.85883,62.69
95.19,-13937.20652,64.88
94.61,-13886.533,65.7
95.1,-13800.97452,65.11
94.97,-13679.9761,63.87
94.83,-13750.82887,62.61
94.96,-13792.27018,63.7
94.3,-13791.87286,63.87
94.01,-13696.27456,64.26
94.06,-13694.20803,63.02
94.32,-13633.01369,63.34
95.4,-13579.72168,64.45
95.28,-13526.85084,63.49
95.21,-13552.34117,63.2
95.4,-13552.59875,63.26
94.99,-13655.66721,62.01
95.53,-13737.25591,63.59
96.27,-13778.44978,62.01
96.07,-13754.43542,62.07
95.95,-13789.10175,60.32
96.26,-13731.14836,56.54
96.77,-13720.36761,56.85
96.22,-13874.19461,57.05
96.27,-13920.62464,58.61
96.03,-13855.39322,58.73
96.8,-13715.00311,57.85
96.61,-13625.01179,58.51
97.16,-13590.5832,57.05
97.66,-13553.56355,57.51
97.96,-13256.66551,57.1
98.05,-13093.14825,56.65
97.31,-13064.77837,57.04
97.45,-12918.02941,56.13
97.2,-12860.9738,55.27
97.24,-12742.03836,54.62
96.53,-12786.79384,53.47
96.65,-12763.4246,53.3
97.17,-13001.64158,53.38
97.49,-13064.32048,53.31
97.19,-13207.23136,52.21
97.45,-13241.98542,49.52
97.94,-13170.58667,49.99
97.9,-13255.95589,49.59
97.78,-13267.55385,49.52
97.56,-13279.15181,48.61
97.19,-13553.86193,50.41
97.2,-13512.35446,49.18
96.29,-13403.60265,49.66
96.36,-13302.58691,49.22
96.59,-13503.22902,49.03
96.82,-13364.97517,48.74
97,-13408.19086,48.81
96.45,-13584.09781,47.16
95.77,-13722.5878,46.62
94.8,-13624.65302,45.46
93.42,-13729.26833,42.69
93.96,-13627.10246,43.21
